register number,quiz,marks
2024115002,6,3
2024115004,7,3
2024115006,6,5
2024115008,0,3
2024115010,9,3
2024115012,7,3
2024115014,6,7
2024115016,4,5
2024115018,9,3
2024115020,9,7
2024115022,7,5
2024115024,6,7
2024115026,7,9
2024115030,6,9
2024115032,0,7
2024115034,3,5
2024115036,8,5
2024115038,7,5
2024115040,9,3
2024115042,8,7
2024115044,9,9
2024115046,4,7
2024115048,6,9
2024115050,5,7
2024115052,8,7
2024115054,8,9
2024115056,4,7
2024115058,8,9
2024115060,5,5
2024115064,6,7
2024115066,8,9
2024115068,7,5
2024115070,7,9
2024115072,3,3
2024115074,6,7
2024115076,6,5
2024115080,6,7
2024115082,7,7
2024115086,0,0
2024115088,0,9
2024115090,8,7
2024115092,9,9
2024115094,7,7
2024115096,8,5
2024115098,10,5
2024115100,6,5
2024115102,5,9
2024115104,9,9
2024115106,8,7
2024115110,10,3
2024115112,6,3
2024115114,9,5
2024115116,5,7
2024115118,9,7
2024115120,8,7
2024115122,8,5
2024115124,7,3
2024115126,7,3
2024115128,9,9
2024115130,9,9
2024115132,8,0
2024115134,9,7
2024115136,8,5
2024115302,6,5
2024115304,8,5
2024115306,6,5
2024115308,5,7
2024115310,6,7
2024115312,10,7
2024115314,5,5
2024115316,5,5
2024115318,4,3
